College_Name,Reviews,Rating,Review Votes
Pondicherry Engineering College,The best central University,5,0
Pondicherry Engineering College,"Parking facility 
Nature is good here
Canteen facility is poor",5,1
Pondicherry Engineering College,"Pondicherry Engineering College (or PEC) is an engineering institution situated in South India on East Coast Road in Pondicherry, Puducherry on the exact border of Tamil Nadu and Pondicherry.
The college is an institution sponsored by the Union Territory of Puducherry. The college was started in 1984 under the VII Five Year Plan. PEC is an autonomous institution for the purposes of administration, staff recruitment and College development and is managed by a Board of Governors. The college is autonomous for Undergraduate acedamic purposes also. And affiliated to the Pondicherry University for Postgraduate and Phd academic purposes. The institute offers eight Undergraduate, eight Postgraduate and PhD programme in the disciplines of engineering and technology.",5,2
Pondicherry Engineering College,Wonderful location good coaching..,4,0
Pondicherry Engineering College,One best engineering college in Pondicherry. It help to poor peoples to learn engineering and creating engineering graduate. This college contain morethen twenty departments. Most educated and highly qualified staffs are appointed to tech. Also very supper environment to learn engineering.,5,4
Pondicherry Engineering College,Nice place for learning technology,5,0
Pondicherry Engineering College,It is one of the best colleges in Puducherry. It is near to Pondicherry University.It has good infrastructure. It provides pleasant environment to students.,4,9
Pondicherry Engineering College,"Only the best engineering college in pondicherry, and one among the autonomous institution in Tamilnadu.",5,1
Pondicherry Engineering College,one of the best colleges...you are the master of your own destiny here!,5,0
Pondicherry Engineering College,An awesome campus ,4,1
Pondicherry Engineering College,Best Engineering college of Pondicherry,5,1
Pondicherry Engineering College,It is just few meters away from University opposite to ccc. Famous for pec fest,4,1
Pondicherry Engineering College,"Best exposure for students. You are let to do what you wish. The bad become worse, the good become the best. This place literally changed my life for the best. I owe my gratitude.",5,5
Pondicherry Engineering College,Good college for all of you and it's located at natural environment.,4,2
Pondicherry Engineering College,Nice ambience... Should raise their standards!,4,1
Pondicherry Engineering College,One of the colleges where a student can learn himself... Some of the faculties are exceptionally good and are famous. Myself being an m.tech student from this college can proudly say this is the best college to study especially M.TECH,5,2
Pondicherry Engineering College,Best government engineering college in pondy,4,2
Pondicherry Engineering College,Good,2,0
Pondicherry Engineering College,PEC is One of the best colleges in Tamil Nadu,5,1
Pondicherry Engineering College,"If anyone is looking B.tech from Pondicherry .I can say PEC is the best choice.
PEC is good for B.tech only.",5,1
Pondicherry Engineering College,Good college. But some useless professor need to be removed for better education.,5,2
Pondicherry Engineering College,"We can definitely expect a new experience in learning, discover a new-self in yourself.",4,0
Pondicherry Engineering College,First engineering college of pondicherry. Still no development. Looks like a jumble of old dilapidated buildings. From 1985 to 2017,2,4
Pondicherry Engineering College,Awesome campus. One of the best places to study.,5,0
Pondicherry Engineering College,Good place to study &enjoy,5,0
Pondicherry Engineering College,"The​ life in PEC,thats something which has to be experienced individually.A very nice campus consisting of 275acres.Everyone who graduates engineering from here will definitely have lots n lots of sweet memories for life,especially for the hostellers.  ❤️",5,2
Pondicherry Engineering College,Supper,5,0
Pondicherry Engineering College,One Of The Best Engineering College in Pondicherry...,5,0
Pondicherry Engineering College,"u want to know your ability?? 
Then just get here ",5,0
Pondicherry Engineering College,I love you,5,0
Pondicherry Engineering College,"its a government run engineering college
the placements are excellent for the it,cse,ece,eee departments whereas for the rest like civil,mech,che and eie very few core companies come and these students too get placed in IT companies only. The teaching is okay.",3,0
Pondicherry Engineering College,Place for Self studying ......,4,0
Pondicherry Engineering College,"Awesome college, great job opportunities if you are in CS",5,1
Pondicherry Engineering College,"    It is a government college that will allow to get placed at better companies . But if you are an average student or below you will surely suffer alot. Although some professors are exceptional, professors here wont teach you the ABC....you need to know the ABC from schools onwards. In terms of infrastructure only the Administration block and the theatres are the only buildings that can be taken into consideration. Hostels are horrible (No need to explain here). The campus is a jungle full of wild animals. There is no ambulance provided in case of emergency (like snake bite or scorpion bite). 
 Actually it is a college for the localite only and not for other states students. Other states students need to pay extra money for the college tuition fee. The hostel fee has reached similar to that of private colleges. 
 It is under pondicherry university, from my experience it is the worst university I have ever seen. Full of corruption. By chance if you have arrear and you want to apply for revaluation. Then my request is don't waste your money for revaluation. There is no transparency on how they re-evaluate your paper. And it will reflect on your mark sheet that when others got the mark sheet and you will not get it. 
 So choose your college wisely before you regret it. :)    ",1,3
Pondicherry Engineering College,The Best college in Pondicherry (Puducherry),5,1
Pondicherry Engineering College,it is the best institute in puducherry,5,0
Pondicherry Engineering College,Best college in pondicherry,5,0
Pondicherry Engineering College,Govt engnerning College soon will be converted into technical university,3,0
Pondicherry Engineering College,Safest place.,4,0
Pondicherry Engineering College,Reputed,4,1
Pondicherry Engineering College,Awesome college with awesome people,5,0
Pondicherry Engineering College,Best Engineering College in Puducherry,4,1
Pondicherry Engineering College,green vegetation covered all along the university.,4,0
Pondicherry Engineering College,Government engineering college of Pondicherry.,5,0
Pondicherry Engineering College,superbbb college,5,1
Pondicherry Engineering College,Proud to be a pecian,4,0
Pondicherry Engineering College,Pecofes,5,0
Pondicherry Engineering College,PECian ,5,0
Rajiv Gandhi College of Engineering and Technology,I'm delighted to share our students success in their career that 200+ offers which stepped up from college to corporate.,5,4
Rajiv Gandhi College of Engineering and Technology,"One of the reputed college in PONDICHERRY , i got placed in a French Bank with good package . it's the best college to start your engineering career!",4,22
Rajiv Gandhi College of Engineering and Technology,Good college.. im a kabadi player..great encouragement from management..I won many nationals..thank you,5,8
Rajiv Gandhi College of Engineering and Technology,Rightfully the best one in pondicherry. I started my first year as a stranger and I was never spared to be an aghorophobian thereafter. The culture right from non-teaching staffs to head of the institution is fanta-fabulous. Best infrastructure and students have their own legacy to think free and improvise themselves. The management has now started to focus on student's ability in other domains rather than academics during weekends. The fees structure is so cool comparatively and the method of implementing syllabus into students is a perfect fit. Together we live as a family and we welcome every permanent guest to this beautiful ambience. PROUD TO BE RGCETIAN,5,18
Rajiv Gandhi College of Engineering and Technology,Invite any celebrity fa recofes'19 it's not a single voice dis voice behalf of whole RGCETIANS,3,10
Rajiv Gandhi College of Engineering and Technology,Semma college with very friendly staff'...good guidances and suports,5,9
Rajiv Gandhi College of Engineering and Technology,"The management has arranged a placement drive for SOCIETE GENERALE, a french based company which started its first hiring process from RGCET and I'm very happy that I've got placed there.Thanks for the placement officers.If we utilize the provided opportunities we'll definitely get succeed.",5,23
Rajiv Gandhi College of Engineering and Technology,"I'm an undergraduate from the department of ECE from RGCET, which is one of the pioneers in pondicherry. And now i'm in my final year and i have got placed in Wipro private Ltd through ""Wipro - Elite NLTH 2019"" an online test conducted by wipro. The placement trainings that are provided by the institution is also helped me for this. I cannot say anything favourable to the management and also not against it. My small advice would be nothing new but assistive that wherever we are, we should have the insight to shape our future.""No one will tell you what to do next in your life as you are already 18"". Now you are on your own. So be an extraordinary personage. And inevitably, we can never blame others for our life. Happy engineering : )",1,25
Rajiv Gandhi College of Engineering and Technology,Damn good college in puducherry and karaikal region..lovely staffs.. I belongs to ECE dept...enjoyed my college and finally got Good placement opportunities in TCS..proud to an RGCETians,5,17
Rajiv Gandhi College of Engineering and Technology,I have placed in TCS. I am feeling really happy. Thanks to RGCET and special thanks to our placement team.,4,23
Rajiv Gandhi College of Engineering and Technology,I have placed in TCS. I am feeling really happy. Thanks to RGCET and special thanks to our placement team.,4,23
Rajiv Gandhi College of Engineering and Technology,"Worst college to Study. No proper teaching by the faculty. Salary is not given to the staffs properly so they are not working properly in the college. Management only strategy is to loot money from students in the name of fine, club activities, specialised coaching. They don't provide specialised coaching at all. Worst they don't provide proper internals. Lots of test. Students coming here for just time passing. Making fun with girls. Loving skipping classes.",1,14
Rajiv Gandhi College of Engineering and Technology,Very worst college in puducherry.many review written by college staff,1,8
Rajiv Gandhi College of Engineering and Technology,"Thank god we belonged to Batch 2013  !
Later, the management started to screw students !
",3,2
Rajiv Gandhi College of Engineering and Technology,"Friendly staffs, Money based Management",1,2
Rajiv Gandhi College of Engineering and Technology,"This is the honest review. People might have a different perspective before joining this college. For the past 2 years, the college degraded itself. Believe even the staffs but not the principal. In order to attract the people, administration started various clubs ( sports, dance, tech, etc.,) right before joining time and after that, that's it. Students wrote retests and assignments but still administration didn't put internal marks for them. This resulted in the great steep in the result....Don't ever ever ever ever ever ever fall for the fantasy you see. Better ask for some other people's advice and join.
",1,16
Rajiv Gandhi College of Engineering and Technology,130 cut off ku etha college,1,4
Rajiv Gandhi College of Engineering and Technology,If u want degree for namesake ....u can go there....its a best college for that,1,7
Rajiv Gandhi College of Engineering and Technology,Nice infrastructure....,5,5
Rajiv Gandhi College of Engineering and Technology,Infrastructure only nice management is worst,1,1
Rajiv Gandhi College of Engineering and Technology,The worst ever college in Pondicherry. This doesn't fit for even 1 star. People don't fit for anything. Students who join this college would ruin their life. This is the college from stone age. I highly recommend the students not to join this college or else they will get self-destructed in their future. I would give negative starts if i could. Let this college go to Hell.,1,13
Rajiv Gandhi College of Engineering and Technology,Very good infrastructure and the well experienced and qualified staff members and good skills having all the students who are studied here and all outgoing students are get good placements.,5,2
Rajiv Gandhi College of Engineering and Technology,"i attend exam so i dont know about college
but good for govt exam
",3,1
Rajiv Gandhi College of Engineering and Technology,This college having good discipline. Best staff behaviour.,4,2
Rajiv Gandhi College of Engineering and Technology,"Best College in Pondicherry... with good infrastructure and highly configured labs...  myself a average student..... my faculty members help me lot... in and out of my campus for my studies...... i really thank my staff members.... now i am a Software Engg.... all the credit goes to my college...
thanks a lot.....
",5,6
Rajiv Gandhi College of Engineering and Technology,Very nice college,2,2
